Symbol,Name,year,gross_profit,oper_income
A005930,삼성전자,2019,36.09,12.05
A000660,SK하이닉스,2019,30.25,10.05
A207940,삼성바이오로직스,2019,27.37,13.08
A051910,LG화학,2019,16.93,3.13
A035420,NAVER,2019,100.00,10.77
A068270,셀트리온,2019,55.83,33.50
A005380,현대차,2019,16.70,3.41
A006400,삼성SDI,2019,21.94,4.58
A035720,카카오,2019,100.00,6.74
A051900,LG생활건강,2019,62.04,15.31
A000270,기아차,2019,16.13,3.46
A012330,현대모비스,2019,13.74,6.20
A028260,삼성물산,2019,12.36,2.82
A005490,POSCO,2019,9.71,6.01
A105560,KB금융,2019,19.50,9.52
A017670,SK텔레콤,2019,100.00,6.26
A036570,엔씨소프트,2019,100.00,28.16
A055550,신한지주,2019,32.45,16.82
A034730,SK,2019,9.13,3.98
A096770,SK이노베이션,2019,6.28,2.54
A066570,LG전자,2019,24.61,3.91
A032830,삼성생명,2019,32.06,3.94
A018260,삼성에스디에스,2019,16.73,9.24
A015760,한국전력,2019,2.35,-2.16
A326030,SK바이오팜,2019,99.58,-63.99
A003550,LG,2019,20.66,15.57
A033780,KT&G,2019,57.92,27.85
A009150,삼성전기,2019,25.51,9.13
A086790,하나금융지주,2019,14.94,8.43
A251270,넷마블,2019,100.00,9.30
A090430,아모레퍼시픽,2019,73.11,7.67
A011170,롯데케미칼,2019,12.66,7.32
A000810,삼성화재,2019,74.02,3.74
A009830,한화솔루션,2019,18.64,3.98
A010950,S-Oil,2019,4.29,1.72
A010130,고려아연,2019,14.21,12.03
A018880,한온시스템,2019,14.46,6.76
A316140,우리금융지주,2019,25.95,12.33
A086280,현대글로비스,2019,7.48,4.80
A009540,한국조선해양,2019,6.53,1.91
A019170,신풍제약,2019,40.16,2.95
A024110,기업은행,2019,33.96,13.15
A006800,미래에셋대우,2019,12.82,4.72
A030200,KT,2019,100.00,4.73
A352820,빅히트,2019,34.32,16.82
A034020,두산중공업,2019,17.09,6.88
A097950,CJ제일제당,2019,19.16,4.01
A021240,코웨이,2019,66.53,15.18
A034220,LG디스플레이,2019,7.96,-5.79
A032640,LG유플러스,2019,100.00,5.54
A180640,한진칼,2019,11.18,-0.32
A003670,포스코케미칼,2019,11.22,6.06
A035250,강원랜드,2019,51.54,32.97
A285130,SK케미칼,2019,22.84,5.63
A003490,대한항공,2019,12.17,2.03
A011200,HMM,2019,-0.07,-5.44
A139480,이마트,2019,25.66,0.79
A271560,오리온,2019,45.14,16.19
