"year","firm","asst","liab","eqty","sales","cost_sales","indst"
2019,"삼성전자",35256,8968,26288,23040,14724,"제조업"
2019,"SK하이닉스",6479,1685,4794,2699,1883,"제조업"
2019,"LG화학",3402,1664,1738,2863,2378,"제조업"
2019,"삼성바이오로직스",591,156,435,70,51,"제조업"
2019,"NAVER",1230,580,650,659,0,"제조업"
2019,"셀트리온",389,99,291,113,50,"제조업"
2019,"현대차",19451,11815,7637,10575,8809,"제조업"
2019,"삼성SDI",1985,719,1266,1010,788,"제조업"
2019,"카카오",874,300,574,307,0,"제조업"
2019,"LG생활건강",649,226,424,769,292,"제조업"
2019,"현대모비스",4661,1420,3241,3805,3282,"제조업"
2019,"삼성물산",4591,1921,2669,3076,2696,"제조업"
2019,"기아차",5534,2637,2898,5815,4877,"제조업"
2019,"POSCO",7906,3126,4779,6437,5812,"제조업"
2019,"엔씨소프트",335,83,251,170,0,"제조업"
2019,"SK텔레콤",4461,2179,2282,1774,0,"제조업"
2019,"KB금융",51854,47942,3912,1464,544,"은행업"
2019,"신한지주",55242,51049,4193,1571,597,"은행업"
2019,"SK이노베이션",3953,2132,1821,4988,4675,"제조업"
2019,"LG전자",4486,2843,1643,6231,4697,"제조업"
2019,"SK",13202,7984,5218,9926,9021,"제조업"
2019,"삼성에스디에스",902,230,673,1072,893,"제조업"
2019,"SK바이오팜",14,15,-1,12,0,"제조업"
2019,"한국전력",19760,12871,6889,5917,5778,"제조업"
2019,"삼성생명",31276,27545,3732,1620,600,"보험업"
2019,"LG",2243,341,1902,658,522,"제조업"
2019,"KT&G",1071,201,871,496,209,"제조업"
2019,"넷마블",581,116,465,218,0,"제조업"
2019,"삼성전기",867,324,543,804,599,"제조업"
2019,"하나금융지주",42151,39252,2898,1112,534,"은행업"
2019,"아모레퍼시픽",599,149,450,558,150,"제조업"
2019,"롯데케미칼",2004,599,1405,1512,1321,"제조업"
2019,"삼성화재",8517,7085,1432,1946,241,"보험업"
2019,"한화솔루션",1568,988,581,950,773,"제조업"
2019,"고려아연",784,100,684,669,574,"제조업"
2019,"신풍제약",38,17,21,19,11,"제조업"
2019,"우리금융지주",36198,33649,2549,1058,468,"은행업"
2019,"현대글로비스",1013,546,467,1827,1690,"제조업"
2019,"한온시스템",708,474,234,715,612,"제조업"
2019,"S-Oil",1633,984,650,2439,2335,"제조업"
2019,"한국조선해양",2506,1213,1293,1518,1419,"제조업"
2019,"기업은행",31811,29533,2278,949,374,"은행업"
2019,"KT",3406,1887,1519,2434,0,"제조업"
2019,"CJ제일제당",2628,1680,948,2235,1807,"제조업"
2019,"미래에셋대우",13315,12396,919,198,NA,"증권업"
2019,"두산중공업",2481,1861,620,1566,1298,"제조업"
2019,"빅히트",36,19,17,59,39,"제조업"
2019,"코웨이",285,178,108,302,101,"제조업"
2019,"LG디스플레이",3557,2309,1249,2348,2161,"제조업"
2019,"SK케미칼",213,141,72,143,110,"제조업"
2019,"한진칼",269,127,142,120,107,"제조업"
2019,"LG유플러스",1794,1059,735,1238,0,"제조업"
2019,"포스코케미칼",173,72,101,148,132,"제조업"
2019,"오리온",245,78,167,202,111,"제조업"
2019,"녹십자",196,78,118,137,100,"제조업"
2019,"금호석유",454,191,263,498,441,"제조업"
2019,"강원랜드",444,72,372,152,74,"제조업"
2019,"유한양행",212,47,165,148,105,"제조업"
2019,"이마트",2109,1089,1021,1906,1417,"제조업"
2019,"현대제철",3437,1713,1723,2051,1912,"제조업"
2019,"한국금융지주",6077,5573,503,140,58,"은행업"
2019,"한국타이어앤테크놀로지",1016,298,719,688,496,"제조업"
2019,"HMM",716,607,109,551,552,"제조업"
2019,"아모레G",828,180,648,628,164,"제조업"
2019,"대한항공",2701,2423,278,1268,1114,"제조업"
2019,"한미사이언스",91,27,65,82,0,"제조업"
2019,"CJ대한통운",911,545,366,1042,944,"제조업"
2019,"삼성카드",2204,1514,690,246,NA,"여신금융업"
2019,"현대중공업지주",2572,1383,1188,2663,2480,"제조업"
2019,"LG이노텍",577,357,220,830,727,"제조업"
2019,"현대건설",1823,951,871,1728,1555,"제조업"
2019,"삼성중공업",1360,835,525,735,729,"제조업"
2019,"한미약품",191,109,82,111,48,"제조업"
2019,"DB손해보험",5578,4963,615,1440,236,"보험업"
2019,"더존비즈온",73,36,36,26,11,"제조업"
2019,"GS",2474,1374,1100,1779,1380,"제조업"
2019,"SKC",397,225,173,254,210,"제조업"
2019,"롯데지주",1561,781,779,886,626,"제조업"
2019,"에스원",179,47,133,215,161,"제조업"
2019,"두산밥캣",670,273,398,451,353,"제조업"
2019,"삼성증권",4473,3978,495,122,NA,"증권업"
2019,"호텔신라",353,261,92,572,0,"제조업"
2019,"동서",148,13,135,50,42,"제조업"
2019,"NH투자증권",5008,4468,539,139,NA,"증권업"
2019,"대림산업",1345,671,674,970,804,"제조업"
2019,"쌍용양회",333,153,180,154,115,"제조업"
2019,"두산퓨얼셀",50,33,17,22,20,"제조업"
2019,"한국가스공사",3931,3117,815,2498,2323,"제조업"
2019,"휠라홀딩스",377,197,180,345,172,"제조업"
2019,"GS리테일",705,450,255,901,706,"제조업"
2019,"대우조선해양",1128,752,375,836,789,"제조업"
2019,"롯데쇼핑",3397,2207,1190,1762,1018,"제조업"
2019,"키움증권",2337,2112,226,87,NA,"증권업"
2019,"제일기획",225,130,96,342,226,"제조업"
2019,"하이트진로",327,224,103,204,116,"제조업"
2019,"GS건설",1317,903,414,1042,902,"제조업"
2019,"메리츠증권",3811,3409,402,116,NA,"증권업"
2019,"한샘",120,59,61,170,122,"제조업"
2019,"CJ",4038,2577,1462,3378,2463,"제조업"
2019,"팬오션",445,155,290,247,218,"제조업"
2019,"씨에스윈드",74,37,37,80,69,"제조업"
2019,"BGF리테일",217,155,62,595,489,"제조업"
2019,"삼성엔지니어링",455,324,130,637,561,"제조업"
2019,"한국항공우주",437,318,118,311,263,"제조업"
2019,"현대해상",4639,4188,451,1348,222,"보험업"
2019,"일진머티리얼즈",104,21,82,55,47,"제조업"
2019,"신세계",1302,750,552,639,313,"제조업"
2019,"오뚜기",215,81,135,236,195,"제조업"
2019,"한화",18229,16402,1826,5041,4666,"제조업"
2019,"BNK금융지주",10454,9536,918,363,144,"은행업"
2019,"LS",1076,649,427,1018,893,"제조업"
2019,"한올바이오파마",19,5,14,11,5,"제조업"
2019,"두산인프라코어",1134,707,427,819,627,"제조업"
2019,"농심",265,71,194,234,163,"제조업"
2019,"만도",460,301,159,598,515,"제조업"
2019,"종근당",80,33,47,108,68,"제조업"
2019,"녹십자홀딩스",277,127,151,152,110,"제조업"
2019,"현대로템",408,320,88,246,255,"제조업"
2019,"한솔케미칼",94,42,52,59,41,"제조업"
2019,"포스코인터내셔널",896,591,305,2442,2330,"제조업"
2019,"효성",653,382,271,337,283,"제조업"
2019,"OCI",481,213,269,261,257,"제조업"
2019,"부광약품",39,6,33,17,8,"제조업"
2019,"LS ELECTRIC",254,118,136,235,189,"제조업"
2019,"메리츠화재",2322,2078,244,808,188,"보험업"
2019,"현대엘리베이",255,160,95,187,150,"제조업"
2019,"DB하이텍",109,44,64,81,51,"제조업"
2019,"현대백화점",762,264,498,220,57,"제조업"
2019,"한국테크놀로지그룹",361,23,338,85,59,"제조업"
2019,"KCC",938,493,445,272,208,"제조업"
2019,"대한유화",203,25,178,207,191,"제조업"
2019,"대웅",167,64,103,137,73,"제조업"
2019,"F&F",68,20,48,91,29,"제조업"
2019,"현대오토에버",103,51,52,157,141,"제조업"
2019,"일양약품",44,21,22,32,15,"제조업"
2019,"NHN",250,67,183,149,0,"제조업"
2019,"한화생명",14185,12786,1399,1559,465,"보험업"
2019,"롯데정밀화학",179,30,149,131,103,"제조업"
2019,"영진약품",20,8,12,22,14,"제조업"
2019,"현대미포조선",338,103,235,299,280,"제조업"
2019,"SK디스커버리",500,268,232,502,460,"제조업"
2019,"대우건설",970,721,249,865,780,"제조업"
2019,"HDC현대산업개발",441,218,223,422,346,"제조업"
2019,"한화에어로스페이스",871,585,286,526,424,"제조업"
2019,"지누스",76,38,37,82,56,"제조업"
2019,"메리츠금융지주",6176,5580,596,183,56,"은행업"
2019,"아이에스동서",288,161,127,96,74,"제조업"
2019,"영원무역",310,114,197,239,178,"제조업"
2019,"한전KPS",136,30,106,125,97,"제조업"
2019,"진원생명과학",5,3,2,4,3,"제조업"
2019,"제일약품",40,23,17,67,52,"제조업"
2019,"한화시스템",241,144,97,155,131,"제조업"
2019,"현대위아",677,368,309,731,692,"제조업"
2019,"더블유게임즈",107,43,65,51,0,"제조업"
2019,"이노션",208,129,78,127,76,"제조업"
2019,"DGB금융지주",7240,6697,543,219,78,"은행업"
2019,"SK네트웍스",1014,783,231,1305,1194,"제조업"
2019,"파미셀",6,1,5,3,2,"제조업"
2019,"코스맥스",120,89,32,133,115,"제조업"
2019,"대웅제약",125,61,64,111,64,"제조업"
2019,"휴켐스",91,24,67,66,52,"제조업"
2019,"금호타이어",393,264,129,237,184,"제조업"
2019,"두산솔루스",49,35,14,7,5,"제조업"
2019,"JB금융지주",4753,4371,382,189,66,"은행업"
2019,"SK가스",408,242,166,493,452,"제조업"
2019,"한국콜마",240,155,85,154,111,"제조업"
2019,"코오롱인더",529,317,213,441,328,"제조업"
2019,"롯데관광개발",57,27,30,9,7,"제조업"
2019,"신세계인터내셔날",113,53,60,143,59,"제조업"
2019,"쿠쿠홈시스",63,17,46,66,25,"제조업"
2019,"영풍",483,113,370,308,287,"제조업"
2019,"후성",53,29,24,25,20,"제조업"
2019,"코리안리",1173,928,246,805,21,"보험업"
2019,"다우기술",2417,2151,266,325,234,"제조업"
2019,"현대홈쇼핑",250,77,173,221,125,"제조업"
2019,"대상",240,137,102,296,221,"제조업"
2019,"동원시스템즈",115,58,57,104,91,"제조업"
2019,"SK디앤디",140,104,36,45,32,"제조업"
2019,"티와이홀딩스",NA,NA,NA,NA,NA,"제조업"
2019,"KG동부제철",236,147,89,243,229,"제조업"
2019,"태광산업",436,87,348,292,190,"제조업"
2019,"유나이티드제약",33,8,26,22,9,"제조업"
2019,"드림텍",38,16,22,56,48,"제조업"
2019,"오리온홀딩스",437,103,334,210,118,"제조업"
2019,"S&T모티브",104,30,74,98,82,"제조업"
2019,"두산",2917,2235,682,1854,1538,"제조업"
2019,"신성이엔지",42,29,12,45,39,"제조업"
2019,"동원산업",299,191,108,268,227,"제조업"
2019,"롯데칠성",326,203,123,243,145,"제조업"
2019,"아시아나항공",1350,1260,91,697,669,"제조업"
