Symbol,Name,year,profit,oper_income,net_income
A005930,삼성전자,2018,45.69,24.16,18.19
A005930,삼성전자,2019,36.09,12.05,9.44
A000660,SK하이닉스,2018,62.47,51.54,38.42
A000660,SK하이닉스,2019,30.25,10.05,7.47
A207940,삼성바이오로직스,2018,27.09,10.39,41.83
A207940,삼성바이오로직스,2019,27.37,13.08,28.92
A051910,LG화학,2018,18.97,7.97,5.39
A051910,LG화학,2019,16.93,3.13,1.31
A035420,NAVER,2018,100.00,16.87,11.24
A035420,NAVER,2019,100.00,10.77,6.02
A068270,셀트리온,2018,55.92,34.49,25.82
A068270,셀트리온,2019,55.83,33.50,26.40
A005380,현대차,2018,15.64,2.50,1.70
A005380,현대차,2019,16.70,3.41,3.01
A006400,삼성SDI,2018,22.28,7.81,8.14
A006400,삼성SDI,2019,21.94,4.58,3.98
A035720,카카오,2018,100.00,3.02,0.66
A035720,카카오,2019,100.00,6.74,-11.14
A051900,LG생활건강,2018,60.04,15.40,10.26
A051900,LG생활건강,2019,62.04,15.31,10.26
A000270,기아차,2018,14.75,2.14,2.13
A000270,기아차,2019,16.13,3.46,3.14
A012330,현대모비스,2018,12.99,5.76,5.37
A012330,현대모비스,2019,13.74,6.20,6.03
A028260,삼성물산,2018,12.79,3.54,5.61
A028260,삼성물산,2019,12.36,2.82,3.41
A005490,POSCO,2018,12.27,8.53,2.91
A005490,POSCO,2019,9.71,6.01,3.08
A105560,KB금융,2018,21.19,10.15,7.29
A105560,KB금융,2019,19.50,9.52,7.02
A017670,SK텔레콤,2018,100.00,7.12,18.56
A017670,SK텔레콤,2019,100.00,6.26,4.86
A036570,엔씨소프트,2018,100.00,35.85,24.57
A036570,엔씨소프트,2019,100.00,28.16,21.11
A055550,신한지주,2018,36.03,18.90,13.43
A055550,신한지주,2019,32.45,16.82,12.14
A034730,SK,2018,9.47,4.68,6.14
A034730,SK,2019,9.13,3.98,1.62
A096770,SK이노베이션,2018,7.31,3.88,3.13
A096770,SK이노베이션,2019,6.28,2.54,0.13
A066570,LG전자,2018,24.59,4.41,2.40
A066570,LG전자,2019,24.61,3.91,0.29
A032830,삼성생명,2018,30.05,8.01,5.38
A032830,삼성생명,2019,32.06,3.94,3.31
A018260,삼성에스디에스,2018,16.59,8.74,6.37
A018260,삼성에스디에스,2019,16.73,9.24,7.00
A015760,한국전력,2018,3.99,-0.34,-1.94
A015760,한국전력,2019,2.35,-2.16,-3.83
A326030,SK바이오팜,2018,100.00,"-12,660.28","-12,568.64"
A326030,SK바이오팜,2019,99.58,-63.99,-57.75
A003550,LG,2018,27.43,23.52,24.32
A003550,LG,2019,20.66,15.57,16.83
A033780,KT&G,2018,58.94,28.07,20.10
A033780,KT&G,2019,57.92,27.85,20.93
A009150,삼성전기,2018,31.08,14.37,8.56
A009150,삼성전기,2019,25.51,9.13,6.57
A086790,하나금융지주,2018,17.34,9.69,7.00
A086790,하나금융지주,2019,14.94,8.43,6.28
A251270,넷마블,2018,100.00,11.96,10.63
A251270,넷마블,2019,100.00,9.30,7.79
A090430,아모레퍼시픽,2018,72.81,9.13,6.34
A090430,아모레퍼시픽,2019,73.11,7.67,4.01
A011170,롯데케미칼,2018,16.82,12.11,10.22
A011170,롯데케미칼,2019,12.66,7.32,5.00
A000810,삼성화재,2018,73.09,6.53,4.82
A000810,삼성화재,2019,74.02,3.74,2.80
A009830,한화솔루션,2018,17.55,3.92,1.77
A009830,한화솔루션,2019,18.64,3.98,-2.62
A010950,S-Oil,2018,4.96,2.51,1.01
A010950,S-Oil,2019,4.29,1.72,0.27
A010130,고려아연,2018,13.13,11.11,7.77
A010130,고려아연,2019,14.21,12.03,9.54
A018880,한온시스템,2018,15.37,7.31,4.78
A018880,한온시스템,2019,14.46,6.76,4.51
A316140,우리금융지주,2018,,,
A316140,우리금융지주,2019,25.95,12.33,8.97
A086280,현대글로비스,2018,6.82,4.21,2.59
A086280,현대글로비스,2019,7.48,4.80,2.75
A009540,한국조선해양,2018,3.02,-3.66,-3.45
A009540,한국조선해양,2019,6.53,1.91,1.40
A019170,신풍제약,2018,40.50,4.14,1.50
A019170,신풍제약,2019,40.16,2.95,2.84
A024110,기업은행,2018,36.27,15.43,11.36
A024110,기업은행,2019,33.96,13.15,9.53
A006800,미래에셋대우,2018,12.21,3.85,3.47
A006800,미래에셋대우,2019,12.82,4.72,4.30
A030200,KT,2018,100.00,5.38,3.25
A030200,KT,2019,100.00,4.73,2.75
A352820,빅히트,2018,36.96,26.52,-23.38
A352820,빅히트,2019,34.32,16.82,12.33
A034020,두산중공업,2018,17.41,6.80,-2.86
A034020,두산중공업,2019,17.09,6.88,-0.67
A097950,CJ제일제당,2018,18.98,4.46,4.96
A097950,CJ제일제당,2019,19.16,4.01,0.85
A021240,코웨이,2018,67.56,19.20,12.92
A021240,코웨이,2019,66.53,15.18,11.00
A034220,LG디스플레이,2018,12.68,0.38,-0.74
A034220,LG디스플레이,2019,7.96,-5.79,-12.23
A032640,LG유플러스,2018,100.00,6.32,4.11
A032640,LG유플러스,2019,100.00,5.54,3.54
A180640,한진칼,2018,19.82,8.34,-0.80
A180640,한진칼,2019,11.18,-0.32,-21.54
A003670,포스코케미칼,2018,12.00,7.68,9.59
A003670,포스코케미칼,2019,11.22,6.06,6.82
A035250,강원랜드,2018,49.27,29.95,20.67
A035250,강원랜드,2019,51.54,32.97,22.02
A285130,SK케미칼,2018,19.92,3.34,-1.20
A285130,SK케미칼,2019,22.84,5.63,0.35
A003490,대한항공,2018,15.74,5.16,-1.24
A003490,대한항공,2019,12.17,2.03,-4.91
A011200,HMM,2018,-5.30,-10.70,-15.14
A011200,HMM,2019,-0.07,-5.44,-10.70
A139480,이마트,2018,26.96,2.71,2.79
A139480,이마트,2019,25.66,0.79,1.17
A271560,오리온,2018,45.51,14.64,7.42
A271560,오리온,2019,45.14,16.19,10.90
A004020,현대제철,2018,9.97,4.94,1.96
A004020,현대제철,2019,6.81,1.62,0.12
A071050,한국금융지주,2018,8.33,7.60,6.10
A071050,한국금융지주,2019,7.60,8.74,7.87
A006280,녹십자,2018,25.91,3.76,2.57
A006280,녹십자,2019,27.18,2.94,-0.82
A000100,유한양행,2018,27.24,3.30,3.84
A000100,유한양행,2019,29.10,0.85,2.47
A011780,금호석유,2018,13.08,9.93,9.01
A011780,금호석유,2019,11.36,7.39,5.92
A161390,한국타이어앤테크놀로지,2018,30.96,10.34,7.81
A161390,한국타이어앤테크놀로지,2019,27.92,7.90,6.24
A267250,현대중공업지주,2018,6.96,3.16,1.04
A267250,현대중공업지주,2019,6.87,2.50,0.43
A010140,삼성중공업,2018,-0.08,-7.77,-7.37
A010140,삼성중공업,2019,0.83,-8.39,-17.90
A002790,아모레G,2018,73.37,9.04,6.19
A002790,아모레G,2019,73.87,7.93,4.49
A029780,삼성카드,2018,74.20,14.27,10.29
A029780,삼성카드,2019,74.56,13.65,10.45
A011070,LG이노텍,2018,10.82,3.30,2.04
A011070,LG이노텍,2019,12.39,4.86,1.23
