Symbol,Name,year,asset,lev,sales,gross_profit,oper_income,net_income
A000020,동화약품,2019,376,24.98,307,39.63,3.23,3.06
A000040,KR모터스,2019,144,309.21,133,-0.74,-18.59,-30.96
A000050,경방,2019,1371,84.85,344,28.93,9.31,12.68
A000060,메리츠화재,2019,23216,851.25,8083,61.33,3.49,2.98
A000070,삼양홀딩스,2019,3590,76.87,2489,18.62,3.19,2.49
A000080,하이트진로,2019,3271,216.58,2035,42.84,4.34,-2.08
A000100,유한양행,2019,2117,28.32,1480,29.1,0.85,2.47
A000120,CJ대한통운,2019,9110,149.23,10415,9.34,2.95,0.49
A000140,하이트진로홀딩스,2019,3837,290.48,2026,43.31,4.98,-1.98
A000150,두산,2019,29170,327.74,18536,17.04,6.81,2.34
A000180,성창기업지주,2019,703,33.86,151,13.13,-1.95,-7.2
A000210,대림산업,2019,13445,99.58,9700,17.09,11.65,7.32
A000220,유유제약,2019,138,52.1,91,51.29,8.89,6.12
A000230,일동홀딩스,2019,806,150.9,292,39.6,-8.86,-13.67
A000240,한국테크놀로지그룹,2019,3607,6.76,848,30.58,20.16,19.26
A000270,기아차,2019,55345,90.99,58146,16.13,3.46,3.14
A000300,대유플러스,2019,1097,533.5,530,15.91,7.47,4.87
A000320,노루홀딩스,2019,1007,77.52,884,23.75,2.83,2.25
A000370,한화손해보험,2019,18257,1146.81,5981,59.14,-1.17,-0.86
A000390,삼화페인트,2019,561,98.69,540,18.03,2.08,0.72
A000400,롯데손해보험,2019,16267,1584.25,2429,54.48,-1.93,-1.39
A000430,대원강업,2019,1048,78.44,960,9.99,2.81,2.21
A000480,조선내화,2019,1069,52,757,13.88,2.82,4.25
A000490,대동공업,2019,817,270,833,23.38,2.94,0.36
A000500,가온전선,2019,513,99.66,830,4.7,0.86,0.66
A000520,삼일제약,2019,184,195.27,121,38.58,3.98,0.65
A000540,흥국화재,2019,12649,1676.58,3044,58.45,1.04,0.9
A000640,동아쏘시오홀딩스,2019,1359,81.89,770,34.42,6.86,2.6
A000650,천일고속,2019,80,56.94,60,13.77,0.94,1.21
A000660,SK하이닉스,2019,64789,35.14,26991,30.25,10.05,7.47
A000670,영풍,2019,4833,30.67,3084,7.06,2.74,6.72
A000680,LS네트웍스,2019,1168,124.89,403,26.21,-5.35,-17.15
A000700,유수홀딩스,2019,522,58.84,366,19,-2.13,-0.67
A000720,현대건설,2019,18227,109.15,17279,9.99,4.98,3.32
A000760,이화산업,2019,283,58.93,62,18.05,-2.74,-7.71
A000810,삼성화재,2019,85172,494.72,19456,74.02,3.74,2.8
A000850,화천기공,2019,375,26.39,206,18.16,3.33,3.61
A000860,강남제비스코,2019,672,19.8,333,12.27,-0.59,5.24
A000880,한화,2019,182286,898.06,50412,7.44,2.23,0.46
A000890,보해양조,2019,167,109.06,76,15.31,-14.54,-19.32
A000910,유니온,2019,325,127.73,212,18.39,5.13,-5.95
A000950,전방,2019,327,286.54,137,-15.76,-22.18,-29.28
A000970,한국주철관,2019,357,28.25,437,19.19,3.56,3.21
A000990,DB하이텍,2019,1089,68.91,807,36.43,22.45,12.96
A001020,페이퍼코리아,2019,628,4714.43,266,11.95,-0.49,-10.48
A001040,CJ,2019,40381,176.3,33780,27.07,4.47,0.96
A001060,JW중외제약,2019,573,149.12,511,31.51,-3.72,-4.94
A001070,대한방직,2019,198,56.83,156,1.88,-8.3,-10.21
A001080,만호제강,2019,249,8.19,209,7.17,-0.65,0.51
A001120,LG상사,2019,4876,214.86,10531,6.78,1.28,-0.14
A001130,대한제분,2019,1005,32.28,934,19.24,2.51,1.82
A001140,국보,2019,133,203.05,89,19.91,-1.09,-8.68
A001200,유진투자증권,2019,7738,880.08,246,25.19,5.96,4.23
A001210,금호전기,2019,73,333.72,63,26.98,-6.63,-52.81
A001230,동국제강,2019,5439,179.63,5658,8.98,2.91,-1.44
A001250,GS글로벌,2019,1205,217.23,3889,3.8,1.5,-0.43
A001260,남광토건,2019,203,283.12,236,9.5,2.04,1.64
A001270,부국증권,2019,1481,204.8,117,19.13,5.9,4.49
A001290,상상인증권,2019,471,208.12,17,48.48,-15.81,-23.5
A001340,백광산업,2019,329,96.51,168,28.75,12.59,9.52
A001360,삼성제약,2019,169,18,45,21.09,-14.52,15.45
A001380,SG충방,2019,204,56.9,126,10.32,3.07,0.6
A001390,KG케미칼,2019,4152,207.16,2068,23.25,5.7,10.6
A001420,태원물산,2019,38,18.61,22,6.53,0.31,2.46
A001430,세아베스틸,2019,3577,80.37,2961,5.81,1.49,0.65
A001440,대한전선,2019,1235,295.04,1555,6.37,2.14,-0.81
A001450,현대해상,2019,46394,928.6,13484,66.85,2.35,1.6
A001460,BYC,2019,694,59.76,171,40.69,13.71,16.29
A001470,삼부토건,2019,421,109.72,226,7.66,2.19,3.28
A001500,현대차증권,2019,7031,610.72,253,35.31,13.75,10.03
A001510,SK증권,2019,4139,626.03,228,41.35,3.89,5.67
A001520,동양,2019,1017,24.2,539,9.23,-3.73,-0.42
A001530,DI동일,2019,957,82.11,940,26.47,5.17,2.8
A001550,조비,2019,92,91.16,71,20.86,1.36,-0.18
A001560,제일연마,2019,103,22.01,81,21.27,8.54,7.91
A001570,금양,2019,224,228.35,173,20.74,5.33,-6.31
A001620,케이비아이동국실업,2019,560,217.33,616,7.27,-2.27,0.04
A001630,종근당홀딩스,2019,1075,45.22,721,45.61,11.96,11.01
A001680,대상,2019,2397,134.5,2964,25.45,4.38,3.67
A001720,신영증권,2019,9629,723.87,149,5.82,0.63,0.79
A001740,SK네트웍스,2019,10139,339.81,13054,8.54,0.84,-0.94
A001750,한양증권,2019,1822,518.3,109,35.15,9.53,7.14
A001770,신화실업,2019,65,91.18,74,7.04,1.37,1.3
A001780,알루코,2019,773,170.26,454,13.11,2.69,-1.5
A001790,대한제당,2019,1143,146.2,1204,10.86,2.45,1.2
A001800,오리온홀딩스,2019,4366,30.82,2104,44.13,12.68,7.43
A001820,삼화콘덴서,2019,215,39.6,255,23.96,14.65,11.72
A001880,대림건설,2019,852,86.03,1280,14.25,11.17,7.43
A001940,KISCO홀딩스,2019,1557,17.31,1183,9.66,4.87,5.32
A002020,코오롱,2019,3631,394.29,4406,10.59,2.83,-0.22
A002030,아세아,2019,2869,96.39,1542,21.16,10.25,6.13
A002070,비비안,2019,133,31.56,200,57.09,-0.23,-1.22
A002100,경농,2019,371,83.71,228,32.71,3.82,1.76
A002140,고려산업,2019,206,115.49,192,16.79,3.02,2.46
A002150,도화엔지니어링,2019,409,61.92,516,100,5.24,3.37
A002170,삼양통상,2019,372,13.06,192,29.38,25.73,23.01
A002200,한국수출포장,2019,308,24.34,272,17.46,7.1,6.64
A002210,동성제약,2019,132,87.92,87,38.22,-8.7,-9.69
A002220,한일철강,2019,319,114.26,173,2.33,-4.23,-6.29
A002240,고려제강,2019,2354,58.83,1640,12.18,1.93,0.37
A002270,롯데푸드,2019,1321,86.73,1788,16.79,2.77,2.1
A002310,아세아제지,2019,848,45.03,698,21.24,10.19,8.81
A002320,한진,2019,3548,236.69,2062,8.2,4.4,-0.14
A002350,넥센타이어,2019,3436,120.56,2022,30.49,10.25,5.86
A002360,SH에너지화학,2019,123,24.66,141,4.73,-2.22,-2.19
A002380,KCC,2019,9382,110.68,2720,23.49,4.9,-8.16
A002390,한독,2019,749,117.64,473,35.09,5.81,7.17
A002410,범양건영,2019,138,97.81,276,7.21,4.15,7.14
A002420,세기상사,2019,42,85.21,5,4.28,-8.87,-18.29
A002460,화성산업,2019,613,65.13,451,16.25,6.56,1.7
A002600,조흥,2019,218,68.41,195,12.29,6.33,4.02
A002620,제일파마홀딩스,2019,846,75.24,731,24.89,1.23,-13.11
A002630,오리엔트바이오,2019,72,38.76,38,19.1,-29.84,-30.89
A002690,동일제강,2019,147,12.62,127,4.8,0.77,0.88
