date,kor,usa,jpn,uk
2004-01-05,0.39,-0.31,,0.74
2004-01-06,-0.16,1.24,1.39,0.07
2004-01-07,0.6,0.13,-0.1,-0.18
2004-01-08,-0.32,0.24,-0.52,-0.71
2004-01-09,2.85,0.5,0.74,0.47
2004-01-12,0.76,-0.89,1.18,-0.62
2004-01-13,-0.35,0.48,,-0.37
2004-01-14,0.24,-0.53,-1.05,-0.21
2004-01-15,-0.58,0.83,0.12,0.48
2004-01-16,0.26,0.14,-1.82,-0.12
2004-01-19,1.2,0.69,1.8,0.71
2004-01-20,0.6,,1.65,0.67
2004-01-26,0.93,-0.09,0.61,-0.42
2004-01-27,-0.58,1.21,-0.87,-0.34
2004-01-28,-0.38,-0.98,-0.41,0.03
2004-01-29,-0.83,-1.36,-0.69,0.47
2004-01-30,-0.69,0.5,-0.67,-1.27
2004-02-02,0.71,-0.26,0.04,-0.47
2004-02-03,-1.85,0.37,-0.06,-0.21
2004-02-04,-0.59,0.07,-1.25,0.21
2004-02-05,0.74,-0.84,-1.83,0.18
2004-02-06,1.27,0.18,0.17,-0.32
2004-02-09,1.82,1.26,-0.04,0.42
2004-02-10,0.25,-0.26,-0.56,0.72
2004-02-11,1.29,0.5,-0.36,-0.67
2004-02-12,0.24,1.07,,-0.2
2004-02-13,0.48,-0.49,0.91,-0.42
2004-02-16,-0.1,-0.55,0.94,0.78
2004-02-17,0.35,,-0.08,-0.09
2004-02-18,-1,0.98,1.44,1.21
2004-02-19,0.68,-0.45,-0.23,-0.42
2004-02-20,-0.54,-0.41,0.72,1.64
2004-02-23,0.02,-0.26,-0.31,-0.01
2004-02-24,-1.5,-0.27,1.38,0.21
2004-02-25,0.27,-0.17,-2.07,-0.61
2004-02-26,-0.17,0.4,0.14,0.24
2004-02-27,2.19,0.11,1.47,0.19
2004-03-02,1.85,0,2.1,-0.52
2004-03-03,-0.42,-0.59,0.8,0.07
2004-03-04,1.45,0.17,-0.08,-0.33
2004-03-05,-0.34,0.33,0.44,0.75
2004-03-08,-0.66,0.17,1.19,-0.26
2004-03-09,-1.08,-0.84,-0.3,0.15
2004-03-10,-1.78,-0.58,0.25,-0.26
2004-03-11,-0.76,-1.46,-0.86,0.07
2004-03-12,-2.32,-1.52,-1.19,-2.2
2004-03-15,0.36,1.25,-1.19,0.5
2004-03-16,-0.13,-1.43,1.39,-1.22
2004-03-17,2.74,0.56,-0.67,0.36
2004-03-18,0,1.17,1.73,0.63
2004-03-19,1.28,-0.13,0.41,-1.32
2004-03-22,-2.34,-1.12,-0.57,0.45
2004-03-23,0.36,-1.29,-0.88,-1.9
2004-03-24,-0.47,-0.14,-0.33,-0.35
